iter	RMSE
282	0.5736638198
283	0.5731005116
284	0.5723393457
285	0.5716289459
286	0.5705922145
287	0.5700209162
288	0.5694250597
289	0.5690815556
290	0.5681989628
291	0.5668870801
292	0.566434558
293	0.5654641844
294	0.5646943237
295	0.5639380188
296	0.5628935929
297	0.5619665466
298	0.5612508778
299	0.5603721181
300	0.5598401023
301	0.5590775584
302	0.5585959057
303	0.558093165
304	0.5573906012
305	0.5565943776
306	0.5557369549
307	0.5552611985
308	0.5548583336
309	0.5542243449
310	0.5533150282
311	0.552675487
312	0.5520498273
313	0.5512956518
314	0.5509848856
315	0.5502198852
316	0.549505876
317	0.5489521504
318	0.5485356364
319	0.5481785043
320	0.5477590189
321	0.5472391348
322	0.5461300949
323	0.5452979468
324	0.5449933537
325	0.5443460661
326	0.5438521661
327	0.5431078088
328	0.542583457
329	0.5419242473
330	0.5412807351
331	0.5405120102
332	0.5399601405
333	0.539446165
334	0.5385051174
335	0.5379772068
336	0.5375748867
337	0.5369263361
338	0.536493436
339	0.5360044041
340	0.5354440377
341	0.5346983963
342	0.5340600907
343	0.5335757325
344	0.5332862143
345	0.5326956161
346	0.5319816243
347	0.5313545819
348	0.530612835
349	0.5298632982
350	0.5294855138
351	0.5288372495
352	0.5284015749
353	0.527951317
354	0.5276624939
355	0.527307097
356	0.526989235
357	0.52668225
358	0.5262695105
359	0.5258314076
360	0.5254162732
361	0.5249875899
362	0.5244494864
363	0.5240610599
364	0.5235081299
365	0.5231642767
366	0.5226613335
367	0.5220795054
368	0.5217363603
369	0.5214302516
370	0.5207879855
371	0.5204613915
372	0.5200666651
373	0.5195539298
374	0.5191482842
375	0.5189901344
376	0.5185251585
377	0.5180564245
378	0.5176474988
379	0.5171164554
380	0.516863192
381	0.5166507734
382	0.5162476681
383	0.5158319877
384	0.5153450708
385	0.5150888253
386	0.5146319969
387	0.5138285563
388	0.5133442888
389	0.5129822308
390	0.5126960666
391	0.5122172625
392	0.5119036901
393	0.5115852811
394	0.5111167868
395	0.5107102212
396	0.5103594778
397	0.5098570054
398	0.5095820551
399	0.5093139715
400	0.5087358468
401	0.5083353523
402	0.50808533
403	0.5076366077
404	0.5070493243
405	0.5067669102
406	0.5063281139
407	0.5058126582
408	0.5053774437
409	0.5049762687
410	0.5046164735
411	0.5041467402
412	0.5037420821
413	0.5034839355
414	0.5028891824
415	0.502470813
416	0.5020098123
417	0.5016422536
418	0.5012160171
419	0.5005595515
420	0.4999472969
421	0.4994163759
422	0.4990808466
423	0.4986488915
424	0.4983823381
425	0.4981118256
426	0.497826427
427	0.4975057544
428	0.497124424
429	0.4965201255
430	0.4962556287
431	0.4958183836
432	0.4953775063
433	0.4949741683
434	0.4946782203
435	0.4942659605
436	0.4935629366
437	0.4931839587
438	0.4928972826
439	0.49253283
440	0.4921962444
441	0.4917233235
442	0.491441956
443	0.4911656003
444	0.4908217251
445	0.4904314004
446	0.4901688721
447	0.4898674743
448	0.48959622
449	0.4893383499
450	0.4890527177
451	0.488578141
452	0.488248998
453	0.4880631114
454	0.4878424799
455	0.4872424266
456	0.4865448864
457	0.4863207029
458	0.4860325306
459	0.4857363833
460	0.4854091111
461	0.4850453446
462	0.4845769184
463	0.4842443173
464	0.4837596494
465	0.4833700062
466	0.4828288281
467	0.4822965723
468	0.4819489474
469	0.4815116786
470	0.4811811321
471	0.4808408596
472	0.4804781255
473	0.4799466637
474	0.4794649495
475	0.4790647215
476	0.4783888196
477	0.4780363953
478	0.4777005982
479	0.4771970867
480	0.4767612249
481	0.4761907909
482	0.4759055304
483	0.4755832514
484	0.4753262159
485	0.4749927962
486	0.47476273
487	0.474324145
488	0.4740482669
489	0.4737193248
490	0.4735030129
491	0.473273932
492	0.4730582971
493	0.4728605073
494	0.4721983124
495	0.4718955567
496	0.4717237248
497	0.4714018775
498	0.4711694355
499	0.4708152299
500	0.470569751
501	0.4702864947
502	0.4701225481
503	0.4697730018
504	0.4695116224
505	0.4689723045
506	0.4687865447
507	0.4685406075
508	0.4683368204
509	0.4678142742
510	0.4675070763
511	0.4671957262
512	0.4670035291
513	0.4667222966
514	0.4664189716
515	0.4661972728
516	0.4659917176
517	0.4657990254
518	0.4654798393
519	0.4652118775
520	0.4650066353
521	0.4647546322
522	0.4645547528
523	0.4642876221
524	0.4638322549
525	0.4635762395
526	0.4633891697
527	0.4631286784
528	0.4629078945
529	0.4624597789
530	0.4622086768
531	0.4620416309
532	0.4617291978
533	0.461299095
534	0.4610047042
535	0.4607698735
536	0.4606351632
537	0.460149142
538	0.4597836768
539	0.4595770411
540	0.4592320314
541	0.459047464
542	0.458553137
543	0.4582335253
544	0.4578832321
545	0.4574130852
546	0.457101352
547	0.4568871497
548	0.4566459282
549	0.4563852188
550	0.4561101733
551	0.4558446701
552	0.4556140189
553	0.4553300988
554	0.4551372331
555	0.4549797474
556	0.4546841553
557	0.4545146701
558	0.4544009376
559	0.4541313599
560	0.4537064094
561	0.4534092767
562	0.4531847027
563	0.4529468349
564	0.4527112468
565	0.4524366202
566	0.4521697998
567	0.4519013044
568	0.4516128393
569	0.4513104517
570	0.4510692611
571	0.4507646302
572	0.4505298871
573	0.4501283303
574	0.449757117
575	0.4493361326
576	0.4491154496
577	0.4489279056
578	0.4487967496
579	0.448503827
580	0.4481091421
581	0.4479041984
582	0.4475791669
583	0.4472677522
584	0.4470326498
585	0.4466719799
586	0.4464818479
587	0.4461878687
588	0.4458941486
589	0.4457365923
590	0.4455187706
591	0.4451780263
592	0.4449448915
593	0.4446001712
594	0.4444061759
595	0.4440494654
596	0.4437244577
597	0.4434091712
598	0.4431591487
599	0.44295439
600	0.4425992679
601	0.4424035421
602	0.4421276285
603	0.4417988396
604	0.4416192728
605	0.4414732767
606	0.4413470533
607	0.441150737
608	0.440987818
609	0.4405882601
610	0.4402147769
611	0.4399417301
612	0.4397646432
613	0.4393416738
614	0.4389933727
615	0.4387019167
616	0.4384774375
617	0.4382476699
618	0.4379257921
619	0.4377181018
620	0.4375675058
621	0.4373694571
622	0.4371304743
623	0.4369188609
624	0.4365883491
625	0.4362428418
626	0.4359701664
627	0.4356888147
628	0.4355347145
629	0.4353777654
630	0.4352214797
631	0.4349963691
632	0.4348692767
633	0.4346198148
634	0.4344376058
635	0.4342056181
636	0.4339884141
637	0.4336312447
638	0.4331512039
639	0.4329220765
640	0.4327405318
641	0.4325530163
642	0.4322470534
643	0.4320064789
644	0.4316437103
645	0.4313916361
646	0.4311872596
647	0.4309563918
648	0.43074315
649	0.4305733578
650	0.4302045331
651	0.4300267014
652	0.4296946097
653	0.4294393326
654	0.4289299297
655	0.4286529259
656	0.4283998362
657	0.4281212107
658	0.4279140759
659	0.4276848884
660	0.4275243983
661	0.4272569821
662	0.4269757542
663	0.4267680888
664	0.4265813014
665	0.4263703571
666	0.4261328232
667	0.4258869567
668	0.4255641541
669	0.4253429307
670	0.425193929
671	0.4250850392
672	0.4249602416
673	0.424794552
674	0.4245627452
675	0.4243321359
676	0.4239830506
677	0.4237625143
678	0.4235063136
679	0.4233822896
680	0.4231767973
681	0.4229634467
682	0.4228253172
683	0.4225627471
684	0.4222423705
685	0.4220890783
686	0.4219489991
687	0.4218338573
688	0.4217030519
689	0.4215237231
690	0.4213644375
691	0.4210763853
692	0.4209128827
693	0.4207422881
694	0.420364129
695	0.4200967497
696	0.4198703608
697	0.4196466059
698	0.4195008446
699	0.4193476523
700	0.4191051968
701	0.4189506587
702	0.4187564161
703	0.4184858082
704	0.4182934505
705	0.4180620878
706	0.4178772222
707	0.4176310154
708	0.4174038154
709	0.417256289
710	0.4171028035
711	0.4168663615
712	0.4166833705
713	0.4165601464
714	0.4163760048
715	0.4162156713
716	0.4159950463
717	0.4158133562
718	0.4155021401
719	0.4153179912
720	0.4151677565
721	0.4149769214
722	0.4147782477
723	0.4146516219
724	0.4144962684
725	0.4143385679
726	0.4141921925
727	0.4139334138
728	0.4138297399
729	0.4137034191
730	0.4135175194
731	0.4133290434
732	0.4131987018
733	0.412884571
734	0.4127725027
735	0.412601871
736	0.4124931936
737	0.4122294901
738	0.4120844332
739	0.4118788516
740	0.4116089422
741	0.4114315917
742	0.411328759
743	0.4111996731
744	0.4110428487
745	0.4109500034
746	0.4107048062
747	0.4105804782
748	0.4104265508
749	0.41005376
750	0.4098524293
751	0.4097300768
752	0.4096042324
753	0.4092905547
754	0.409093123
755	0.4089298946
756	0.4087189238
757	0.4085721027
758	0.4084827655
759	0.4083412573
760	0.4081439993
761	0.4078217686
762	0.4074851628
763	0.4072116149
764	0.4068467365
765	0.4066525897
766	0.4065312841
767	0.4063740608
768	0.406135327
769	0.405893909
770	0.405726651
771	0.4055503141
772	0.4053675974
773	0.4052270068
774	0.4050585422
775	0.4048166677
776	0.4046943312
777	0.4044353911
778	0.4041545042
779	0.4039432457
780	0.4037597908
781	0.403580511
782	0.4034615827
783	0.4032568287
784	0.4029432824
785	0.4027756525
786	0.4026504035
787	0.4025205353
788	0.4023225555
789	0.4021457034
790	0.4019762024
791	0.4017602837
792	0.4016471792
793	0.4015374357
794	0.4014108993
795	0.4012583806
796	0.4010024863
797	0.4007283482
798	0.400594783
799	0.4004505931
800	0.4002345176
801	0.4000814552
802	0.3998717153
803	0.3996928382
804	0.3995116474
805	0.3993321587
806	0.3991663245
807	0.39893695
808	0.3987173204
809	0.3985144433
810	0.398279898
811	0.3981414101
812	0.3979733528
813	0.3978760941
814	0.3977677135
815	0.3976495909
816	0.3975212845
817	0.3974046856
818	0.3971034513
819	0.3969909895
820	0.3968203988
821	0.3966699373
822	0.3965318748
823	0.3963091818
824	0.3961495428
825	0.3959166167
826	0.3956609286
827	0.3954090602
828	0.3952240124
829	0.3950561556
830	0.3948787889
831	0.3947040467
832	0.3945422424
833	0.3944075167
834	0.394243286
835	0.3939362263
836	0.3937531363
837	0.3936419045
838	0.393522105
839	0.3933365585
840	0.3931961775
841	0.3930911388
842	0.3928154356
843	0.3925778002
844	0.3924713711
845	0.3923247847
846	0.3922224818
847	0.3920775319
848	0.391951167
849	0.391824772
850	0.3916489651
851	0.3914858461
852	0.3913483227
853	0.3911808415
854	0.3910801147
855	0.3909594039
856	0.3908600597
857	0.3907638047
858	0.3906225105
859	0.390478884
860	0.3903217665
861	0.3901677346
862	0.3899375435
863	0.3897917256
864	0.3895608659
865	0.3893661433
866	0.3892820971
867	0.3891374034
868	0.3889201666
869	0.3886782384
870	0.3885372434
871	0.388376741
872	0.3882528824
873	0.3879990273
874	0.3878158538
875	0.3875693939
876	0.3874179882
877	0.3872386992
878	0.3871008725
879	0.3869479625
880	0.3868150743
881	0.3866512573
882	0.386494331
883	0.3863853209
884	0.3862359447
885	0.3861299193
886	0.3858990867
887	0.3857658483
888	0.3855492643
889	0.3854475806
890	0.3852853771
891	0.3851802016
892	0.3850717977
893	0.3849434265
894	0.3848463306
895	0.3846434792
896	0.3845577103
897	0.3843994005
898	0.3842436129
899	0.3840945674
900	0.3839459388
901	0.3837140447
902	0.3835405013
903	0.3834387079
904	0.3833430552
905	0.3832386418
906	0.3830419047
907	0.3828870681
908	0.3828128551
909	0.3827088355
910	0.3825792647
911	0.3824411486
912	0.3823470804
913	0.3821128383
914	0.3818500663
915	0.3816663639
916	0.381504624
917	0.3813778839
918	0.3811922893
919	0.381100655
920	0.3809604052
921	0.3808045516
922	0.3806770502
923	0.3805380862
924	0.3803893816
925	0.3802604523
926	0.3801244701
927	0.3799946933
928	0.3799218121
929	0.3798212587
930	0.3797076339
931	0.3796191323
932	0.379350858
933	0.3791736949
934	0.3790525081
935	0.3789558736
936	0.3788191501
937	0.3786281102
938	0.3785096556
939	0.3784180066
940	0.3782138921
941	0.3780596111
942	0.3778798064
943	0.3777185447
944	0.3774773752
945	0.3773232131
946	0.3771992414
947	0.3771090994
948	0.3769989383
949	0.3768914049
950	0.3766723084
951	0.3765252197
952	0.3764208563
953	0.3761983542
954	0.3761113472
955	0.3759500829
956	0.3758100588
957	0.3756885794
958	0.3754894178
959	0.3753688524
960	0.3751694071
961	0.3750623071
962	0.3749198174
963	0.3748107447
964	0.3746988448
965	0.3745992057
966	0.3744415472
967	0.3743135142
968	0.3741324707
969	0.3740170016
970	0.3738208897
971	0.3736334176
972	0.3735158201
973	0.3734336538
974	0.3733211384
975	0.37322367
976	0.3729751865
977	0.3727871376
978	0.3725685883
979	0.372427254
980	0.3723232644
981	0.3721910162
982	0.3720927727
983	0.3720051331
984	0.3718488693
985	0.3717433362
986	0.371610492
987	0.3714665701
988	0.3713860811
989	0.3712622041
990	0.3710846962
991	0.3709091182
992	0.3707856276
993	0.3706841751
994	0.3704649692
995	0.3703309839
996	0.3701629688
997	0.3700635025
998	0.3699390519
999	0.369828893
